seed,model,final_signal_quality,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,long_term_trajectory_value,state_complexity_count
16028,tdc_feedback_development,0.9137583926533706,0.8766233766233766,0.044233807266982623,0.2662337662337662,0.8694507636783753,0.7772906793048979,4
16028,simple_static_threshold,0.58,0.688,0.2014218009478673,0.448,0.6667156398104266,0.671125329120589,0
16028,simple_quality_schedule,0.92,0.8275862068965517,0.053712480252764615,0.3586206896551724,0.8279471591218609,0.7287525013164824,0
16028,simple_online_calibration,0.7169892706979151,0.753731343283582,0.18246445497630331,0.3358208955223881,0.7430704249825609,0.6655413375460761,1
16029,tdc_feedback_development,0.9132154339903524,0.8175182481751825,0.0339652448657188,0.32116788321167883,0.8338389011619054,0.7857482885729343,4
16029,simple_static_threshold,0.58,0.7235772357723578,0.1848341232227488,0.3902439024390244,0.6975941509652064,0.6536524486571872,0
16029,simple_quality_schedule,0.92,0.8709677419354839,0.05924170616113744,0.29838709677419356,0.8584097232839016,0.7449626119010011,0
16029,simple_online_calibration,0.8008818376307412,0.8833333333333333,0.1066350710900474,0.225,0.8513052614266018,0.7431184834123222,1
16030,tdc_feedback_development,0.9146828518617072,0.9,0.04107424960505529,0.26153846153846155,0.8816798855505527,0.8097014218009487,4
16030,simple_static_threshold,0.58,0.6212121212121212,0.21169036334913113,0.5075757575757576,0.6226922303604768,0.6713475513428114,0
16030,simple_quality_schedule,0.92,0.8493150684931506,0.038704581358609796,0.3219178082191781,0.8480673029063602,0.7324791995787261,0
16030,simple_online_calibration,0.6848363230636831,0.712,0.16350710900473933,0.408,0.7088240266586047,0.6622422327540807,1
16031,tdc_feedback_development,0.9143416990005782,0.852112676056338,0.04107424960505529,0.2746478873239437,0.857457531689639,0.7990373880990005,4
16031,simple_static_threshold,0.58,0.6412213740458015,0.2093206951026856,0.4122137404580153,0.6512427312084704,0.6407098472880451,0
16031,simple_quality_schedule,0.92,0.8652482269503546,0.045813586097946286,0.2695035460992908,0.8642982756882122,0.7382812006319119,0
16031,simple_online_calibration,0.7575525742799619,0.8012820512820513,0.11058451816745656,0.3076923076923077,0.7905544440469646,0.7219004739336491,1
16032,tdc_feedback_development,0.9141544432977717,0.8776978417266187,0.02843601895734597,0.2733812949640288,0.8717237324873691,0.7804976303317543,4
16032,simple_static_threshold,0.58,0.7152317880794702,0.17140600315955767,0.37748344370860926,0.6990764152621282,0.6480689836756177,0
16032,simple_quality_schedule,0.92,0.860655737704918,0.037914691943127965,0.2459016393442623,0.8685318157097351,0.725125855713534,0
16032,simple_online_calibration,0.7878871469827896,0.875,0.09399684044233807,0.275,0.8381337039589508,0.7465344918378096,1
16033,tdc_feedback_development,0.9144912590388055,0.8905109489051095,0.04818325434439179,0.25547445255474455,0.8771720744832929,0.7883607161664045,4
16033,simple_static_threshold,0.58,0.6083333333333333,0.2014218009478673,0.5,0.6204656398104265,0.6722711953659811,0
16033,simple_quality_schedule,0.92,0.9111111111111111,0.045023696682464455,0.28888888888888886,0.8812174828857294,0.7270073723012114,0
16033,simple_online_calibration,0.7080367354576482,0.7433628318584071,0.1066350710900474,0.39823008849557523,0.739745752737806,0.7100763559768296,1
16034,tdc_feedback_development,0.9142104470884915,0.8613138686131386,0.0315955766192733,0.24817518248175183,0.8687686561189811,0.7915929436545563,4
