seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
19050,FULL,0.9411764705882353,0.2549019607843137,0.11150442477876106,0.7181683333333301,0.94,0.8258686493579726
19050,simple_two_signal_learner,0.8333333333333334,0.3431372549019608,0.1902654867256637,0.6678349999999966,0.9009941640485017,0.7431213389293763
19051,PTVM,0.9719626168224299,0.17757009345794392,0.17125110913930788,0.7227891666666639,0.94,0.8436433315210474
19051,FULL,0.9439252336448598,0.205607476635514,0.11180124223602485,0.7037641666666641,0.94,0.8353564941540406
19051,simple_two_signal_learner,0.9158878504672897,0.22429906542056074,0.20940550133096716,0.6655574999999972,0.8899785704736615,0.7931998635188525
19052,PTVM,0.9298245614035088,0.30701754385964913,0.16550522648083624,0.7287858333333297,0.94,0.8012883954933054
19052,FULL,0.9122807017543859,0.32456140350877194,0.1132404181184669,0.7052783333333298,0.94,0.7962153593587619
19052,simple_two_signal_learner,0.8245614035087719,0.3684210526315789,0.17682926829268292,0.6813941666666636,0.8592024853909188,0.7402458459028662
19053,PTVM,0.9770114942528736,0.19540229885057472,0.15022222222222223,0.720034166666663,0.94,0.8442169707854397
19053,FULL,0.9540229885057471,0.20689655172413793,0.10577777777777778,0.7057591666666635,0.94,0.8397669947317999
19053,simple_two_signal_learner,0.896551724137931,0.26436781609195403,0.19644444444444445,0.6651274999999969,0.8692805672862558,0.7798665493295012
19054,PTVM,0.9433962264150944,0.24528301886792453,0.17244444444444446,0.7216841666666628,0.94,0.8176302659853241
19054,FULL,0.9056603773584906,0.2830188679245283,0.11733333333333333,0.7032024999999963,0.94,0.8032773545597475
19054,simple_two_signal_learner,0.8113207547169812,0.3490566037735849,0.192,0.6626849999999963,0.8524555141597231,0.7334033254716972
19055,PTVM,0.9393939393939394,0.24242424242424243,0.1628721541155867,0.7497699999999966,0.94,0.826080190389003
19055,FULL,0.8383838383838383,0.32323232323232326,0.11295971978984239,0.7256491666666637,0.94,0.7795274184157681
19055,simple_two_signal_learner,0.7676767676767676,0.37373737373737376,0.19439579684763572,0.6951033333333299,0.9250543809809435,0.7217653608324922
19056,PTVM,0.9074074074074074,0.26851851851851855,0.16111611161116113,0.7365391666666637,0.94,0.8070041619370262
19056,FULL,0.8611111111111112,0.3055555555555556,0.11341134113411341,0.7122916666666637,0.94,0.7873350928842877
19056,simple_two_signal_learner,0.7777777777777778,0.3611111111111111,0.17371737173717372,0.6815233333333303,0.8931809267746127,0.7286929145414534
19057,PTVM,0.9719626168224299,0.2897196261682243,0.16140350877192983,0.7216399999999967,0.94,0.8172881767502861
19057,FULL,0.8785046728971962,0.35514018691588783,0.12280701754385964,0.6938583333333304,0.94,0.7736695349647476
19057,simple_two_signal_learner,0.8130841121495327,0.40186915887850466,0.2,0.6527233333333295,0.8491318270570011,0.7166387772585661
19058,PTVM,0.9259259259259259,0.28703703703703703,0.16710411198600175,0.7308741666666632,0.94,0.805316237787984
19058,FULL,0.9074074074074074,0.3055555555555556,0.11723534558180228,0.7079741666666632,0.94,0.7993798058836387
19058,simple_two_signal_learner,0.8055555555555556,0.39814814814814814,0.17935258092738407,0.6722833333333298,0.8701172052433678,0.7243299467774853
19059,PTVM,0.9318181818181818,0.3181818181818182,0.15875754961173424,0.70852083333333,0.94,0.7953786984109856
19059,FULL,0.8977272727272727,0.3409090909090909,0.10440034512510785,0.686979999999997,0.94,0.7849558400658868
19059,simple_two_signal_learner,0.8522727272727273,0.38636363636363635,0.1984469370146678,0.6434933333333299,0.8355427349553431,0.7302748550213081
19060,PTVM,0.9578947368421052,0.24210526315789474,0.13775065387968613,0.7296233333333304,0.94,0.8316978078205532
19060,FULL,0.9263157894736842,0.2631578947368421,0.1002615518744551,0.7003174999999968,0.94,0.8171323277830029
19060,simple_two_signal_learner,0.8631578947368421,0.3157894736842105,0.1987794245858762,0.6573641666666631,0.8917360119976041,0.7545851567494906
19061,PTVM,0.9108910891089109,0.26732673267326734,0.15743183817062445,0.7011716666666634,0.94,0.8002421925968974
19061,FULL,0.8712871287128713,0.297029702970297,0.09674582233948989,0.6866133333333302,0.94,0.7894328817367218
19061,simple_two_signal_learner,0.801980198019802,0.3465346534653465,0.15919085312225154,0.6746349999999969,0.8725904498747078,0.7407809754151529
19062,PTVM,0.9439252336448598,0.19626168224299065,0.12521739130434784,0.7328608333333306,0.94,0.8422838796051735
19062,FULL,0.8785046728971962,0.2616822429906542,0.08347826086956522,0.7144974999999973,0.94,0.8100595639475816
19062,simple_two_signal_learner,0.7476635514018691,0.3925233644859813,0.14956521739130435,0.6594783333333307,0.9032452452841994,0.7111247641541372
19063,PTVM,0.9772727272727273,0.2727272727272727,0.14615384615384616,0.7350666666666635,0.94,0.8295358974358966
19063,FULL,0.9545454545454546,0.29545454545454547,0.1,0.7180891666666639,0.94,0.8220222916666661
19063,simple_two_signal_learner,0.8636363636363636,0.3522727272727273,0.15726495726495726,0.6850783333333303,0.9126591170579077,0.7608393191530685
19064,PTVM,0.9252336448598131,0.24299065420560748,0.15710503089143865,0.6916774999999962,0.94,0.8083207987282535
19064,FULL,0.8598130841121495,0.27102803738317754,0.10414827890556046,0.6663891666666631,0.94,0.7859545517734042
19064,simple_two_signal_learner,0.794392523364486,0.3364485981308411,0.1615180935569285,0.6467624999999964,0.9279436055057272,0.7335926137652489
