seed,model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
17004,simple_anticapture,0.2009857612267251,0.8367346938775511,0.11666666666666667,0.2857142857142857,0.7060362962962932,0.8124869501613959,0.79
17004,simple_frozen_core,0.14520547945205478,0.7350427350427351,0.10444444444444445,0.358974358974359,0.6991881481481453,0.7809436247121726,0.8
17004,tdc_evidence_validated,0.13791238507301243,0.8191489361702128,0.05555555555555555,0.3829787234042553,0.731485185185183,0.820031701656685,0.909468332028741
17005,simple_time_schedule,0.23046875,0.8723404255319149,0.07111111111111111,0.2978723404255319,0.6827444444444408,0.8327430732860519,0.92
17005,simple_anticapture,0.21140011068068623,0.8191489361702128,0.10444444444444445,0.2765957446808511,0.6973503703703672,0.809486054001098,0.79
17005,simple_frozen_core,0.1704357418643133,0.7181818181818181,0.09555555555555556,0.42727272727272725,0.6787459259259229,0.7591039412343696,0.8
17005,tdc_evidence_validated,0.16740823136818686,0.8877551020408163,0.06333333333333334,0.21428571428571427,0.7196118518518495,0.8664172766048167,0.911346441460605
17006,simple_time_schedule,0.2476609796367639,0.8272727272727273,0.06111111111111111,0.2636363636363636,0.6884118518518482,0.826303926759801,0.92
17006,simple_anticapture,0.19370860927152317,0.8411214953271028,0.10777777777777778,0.2897196261682243,0.711185185185182,0.8159359752337594,0.79
17006,simple_frozen_core,0.15057283142389524,0.8080808080808081,0.1,0.31313131313131315,0.690711851851849,0.810080303201133,0.8
17006,tdc_evidence_validated,0.1492785793562708,0.8598130841121495,0.06555555555555556,0.2523364485981308,0.7194607407407383,0.8534265372117087,0.910721237998742
17007,simple_time_schedule,0.22828507795100222,0.8532110091743119,0.08,0.30275229357798167,0.6776762962962926,0.8249068261958653,0.92
17007,simple_anticapture,0.2011173184357542,0.797752808988764,0.10666666666666667,0.3146067415730337,0.7100118518518487,0.7977712598451191,0.79
17007,simple_frozen_core,0.1487513572204126,0.7433628318584071,0.07333333333333333,0.3893805309734513,0.6930674074074041,0.781918639940768,0.8
17007,tdc_evidence_validated,0.17581808097615087,0.8877551020408163,0.057777777777777775,0.23469387755102042,0.7083755555555529,0.8613355450073309,0.9101875890564137
17008,simple_time_schedule,0.2333152468800868,0.8181818181818182,0.07111111111111111,0.37272727272727274,0.6710303703703668,0.8015665335631591,0.92
17008,simple_anticapture,0.20627062706270627,0.8058252427184466,0.12333333333333334,0.30097087378640774,0.7012177777777748,0.7984944817627393,0.79
17008,simple_frozen_core,0.15338097855964816,0.7549019607843137,0.07777777777777778,0.43137254901960786,0.6975711111111084,0.775435638201698,0.8
17008,tdc_evidence_validated,0.14676889375684557,0.8272727272727273,0.04777777777777778,0.3181818181818182,0.7133503703703677,0.834372397964159,0.9098487805841975
17009,simple_time_schedule,0.24917309812568908,0.8828828828828829,0.04777777777777778,0.2072072072072072,0.6952081481481446,0.8556584774730628,0.92
17009,simple_anticapture,0.21269669017905588,0.8053097345132744,0.12333333333333334,0.2831858407079646,0.7074511111111084,0.8011906426490305,0.79
17009,simple_frozen_core,0.1403604587657018,0.6542056074766355,0.07777777777777778,0.4672897196261682,0.6626933333333306,0.7403966194323786,0.8
17009,tdc_evidence_validated,0.16369710467706014,0.8461538461538461,0.04666666666666667,0.2403846153846154,0.7043592592592564,0.8524484333417403,0.9121981660119152
17010,simple_time_schedule,0.25311653116531163,0.82,0.06111111111111111,0.34,0.6766792592592555,0.8075353179765129,0.92
17010,simple_anticapture,0.21148536720044175,0.8240740740740741,0.08888888888888889,0.3333333333333333,0.7005748148148119,0.8024651560627442,0.79
17010,simple_frozen_core,0.16046002190580505,0.7415730337078652,0.09444444444444444,0.33707865168539325,0.6853511111111081,0.7858186711517503,0.8
17010,tdc_evidence_validated,0.15803964757709252,0.7961165048543689,0.05,0.3106796116504854,0.7165088888888863,0.8250500833242316,0.9091785432874478
17011,simple_time_schedule,0.2276736493936053,0.8952380952380953,0.06444444444444444,0.2857142857142857,0.6860022222222183,0.8433961367319437,0.92
17011,simple_anticapture,0.22858701582105836,0.79,0.13111111111111112,0.34,0.6937266666666632,0.7809124108019639,0.79
17011,simple_frozen_core,0.15748469671675014,0.8285714285714286,0.09333333333333334,0.29523809523809524,0.7125770370370352,0.8205836813295526,0.8
17011,tdc_evidence_validated,0.16425389755011136,0.8645833333333334,0.04888888888888889,0.2708333333333333,0.7069725925925902,0.8510142503145088,0.9103697203278799
17012,simple_time_schedule,0.2490293954520244,0.7641509433962265,0.06111111111111111,0.3867924528301887,0.6449407407407364,0.7816061073496187,0.92
17012,simple_anticapture,0.20719738276990185,0.7583333333333333,0.10888888888888888,0.35,0.706865185185182,0.7781250113494083,0.79
17012,simple_frozen_core,0.1538882803943045,0.6936936936936937,0.07888888888888888,0.44144144144144143,0.6891874074074044,0.7555831914532276,0.8
17012,tdc_evidence_validated,0.15202702702702703,0.9339622641509434,0.06333333333333334,0.19811320754716982,0.7340829629629613,0.88584979064173,0.9122896795634496
