seed,model,stage,A_TF,I,C_T,R_C,H_self,latent_integration_score,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10768,static_reliability,2,0.1980312018543238,0.29551590829123425,0.37269781880434405,0.3442707054165133,0.787589743737729,0.3048131034207814,0.6974724073390228,0.62,0.608,0.6077586206896551,0.244,0.6023738872403561,0.0
10768,linear_internal_map,2,0.1980312018543238,0.29551590829123425,0.37269781880434405,0.3442707054165133,0.787589743737729,0.3048131034207814,0.6974724073390228,0.631069634470936,0.616,0.6183035714285714,0.274,0.6261538461538462,0.0
10768,emergent_nonlinear,2,0.1980312018543238,0.29551590829123425,0.37269781880434405,0.3442707054165133,0.787589743737729,0.3048131034207814,0.6974724073390228,0.548770096547325,0.603,0.631578947368421,0.253,0.5401234567901234,0.0
10768,static_reliability,3,0.2892931945899445,0.33072622229271614,0.4048479110974781,0.3538303029719156,0.7877285541581562,0.3553313912859682,0.7193884216105657,0.62,0.611,0.621978021978022,0.267,0.6383928571428571,0.0
10768,linear_internal_map,3,0.2892931945899445,0.33072622229271614,0.4048479110974781,0.3538303029719156,0.7877285541581562,0.3553313912859682,0.7193884216105657,0.6527924982529663,0.59,0.567032967032967,0.196,0.6904024767801857,0.0
10768,emergent_nonlinear,3,0.2892931945899445,0.33072622229271614,0.4048479110974781,0.3538303029719156,0.7877285541581562,0.3553313912859682,0.7193884216105657,0.5569240837656367,0.598,0.5874730021598272,0.216,0.5398860398860399,0.0
10768,static_reliability,4,0.40574839807795987,0.47494494927250375,0.5568415725305764,0.47395039210884127,0.6680078313424662,0.520309030917925,0.7486813391288571,0.62,0.619,0.6114649681528662,0.23634999999999792,0.5965166908563135,0.333
10768,linear_internal_map,4,0.40574839807795987,0.47494494927250375,0.5568415725305764,0.47395039210884127,0.6680078313424662,0.520309030917925,0.7486813391288571,0.7237328832947078,0.648,0.6956521739130435,0.3670499999999983,0.7253218884120172,0.299
10768,emergent_nonlinear,4,0.40574839807795987,0.47494494927250375,0.5568415725305764,0.47395039210884127,0.6680078313424662,0.520309030917925,0.7486813391288571,0.6089006277578758,0.591,0.5787139689578714,0.1953499999999986,0.6017316017316018,0.313
10768,static_reliability,5,0.6369442169939645,0.6846133775385783,0.6694360082806288,0.6565602780463328,0.4619245853395181,0.7957398411837804,0.7866335022020503,0.62,0.612,0.6116279069767442,0.2408999999999969,0.6024258760107817,0.742
10768,linear_internal_map,5,0.6369442169939645,0.6846133775385783,0.6694360082806288,0.6565602780463328,0.4619245853395181,0.7957398411837804,0.7866335022020503,0.8421681317090255,0.781,0.7716186252771619,0.5379499999999954,0.8272604588394062,0.741
10768,emergent_nonlinear,5,0.6369442169939645,0.6846133775385783,0.6694360082806288,0.6565602780463328,0.4619245853395181,0.7957398411837804,0.7866335022020503,0.7589747260287474,0.725,0.7383177570093458,0.46514999999999435,0.7587168758716876,0.717
10769,static_reliability,1,0.15865825938846906,0.24407972071726636,0.3380587071653403,0.2498403092689751,0.7647422109131817,0.2549617682111947,0.6745224630358332,0.62,0.61,0.6196868008948546,0.27,0.5885093167701864,0.0
10769,linear_internal_map,1,0.15865825938846906,0.24407972071726636,0.3380587071653403,0.2498403092689751,0.7647422109131817,0.2549617682111947,0.6745224630358332,0.6096335603308137,0.631,0.6413793103448275,0.319,0.6337579617834395,0.0
10769,emergent_nonlinear,1,0.15865825938846906,0.24407972071726636,0.3380587071653403,0.2498403092689751,0.7647422109131817,0.2549617682111947,0.6745224630358332,0.5407938829137912,0.611,0.6102783725910065,0.247,0.5334370139968896,0.0
