seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12410,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5230952380952381,0.5200868621064061,0.06793809523809703,0.32919254658385094,0.0
12410,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5976190476190476,0.5966514459665144,0.1860404761904813,0.28005657708628007,0.0
12410,ethicalsense_fed_thirdfactor,0.95,0.5013399999999999,0.32,0.4,0.64,0.49166666666666664,0.4877540385617509,-0.013540476190476573,0.3718130311614731,0.0
12410,ethicalsense_plus_idealgap,0.47386523679928444,0.5033450545502461,0.8153357577887116,0.8458021820098404,0.3537856228510463,0.4930952380952381,0.5036008230452675,-0.003290476190476478,0.34475218658892126,0.6350974930362117
12411,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5266666666666666,0.5170212765957447,0.05923809523809545,0.34011627906976744,0.0
12411,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.5961904761904762,0.5895372233400402,0.17399047619048164,0.28919112383679313,0.0
12411,ethicalsense_fed_thirdfactor,0.95,0.5013399999999999,0.32,0.4,0.64,0.4926190476190476,0.49710982658959535,0.0005261904761901469,0.3671766342141864,0.0
12411,ethicalsense_plus_idealgap,0.4781314921503734,0.5790492855303361,0.8397554839601711,0.8677799355641541,0.3362574914908618,0.5230952380952381,0.537328593194515,0.05353095238095236,0.34731420161883736,0.6627906976744186
12412,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5295238095238095,0.5178857447944474,0.06464523809523974,0.34467455621301774,0.0
12412,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6009523809523809,0.6056633455689565,0.2113309523809572,0.2910662824207493,0.0
12412,ethicalsense_fed_thirdfactor,0.95,0.5016999999999996,0.32,0.4,0.64,0.4895238095238095,0.4780361757105943,-0.02929761904761866,0.34643377001455605,0.0
12412,ethicalsense_plus_idealgap,0.48432086096577726,0.5685903224590609,0.8374006681589549,0.8656606013430581,0.34105398828026146,0.5185714285714286,0.5124095139607032,0.03325714285714313,0.32987551867219916,0.6612021857923497
12413,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5176190476190476,0.5167189132706375,0.04144761904761882,0.33357988165680474,0.0
12413,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6073809523809524,0.6229757085020243,0.22076666666667272,0.26285714285714284,0.0
12413,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5064285714285715,0.5143903715332286,0.028778571428571903,0.3486646884272997,0.0
12413,ethicalsense_plus_idealgap,0.5122549674615254,0.9321781018539931,0.8927006179976085,0.9154305561978469,0.3099594902896907,0.5685714285714286,0.5841942148760331,0.15224285714286087,0.3078078078078078,0.6752577319587629
12414,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5226190476190476,0.5387029288702929,0.06796190476190529,0.34702861335289803,0.0
12414,success_fed_thirdfactor,0.95,0.9390000000000002,0.32,0.4,0.64,0.6035714285714285,0.605858170606372,0.20617142857143433,0.2906804733727811,0.0
12414,ethicalsense_fed_thirdfactor,0.95,0.5038999999999998,0.32,0.4,0.64,0.508095238095238,0.5111920874544508,0.024873809523809538,0.3483226266952177,0.0
12414,ethicalsense_plus_idealgap,0.49398577284824674,0.8630293549050114,0.8853164354789779,0.9087847919310801,0.3072695682512874,0.5473809523809524,0.5403141361256545,0.09473809523809813,0.32681159420289857,0.6834733893557423
12415,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5095238095238095,0.5046106557377049,0.012080952380952326,0.3296863603209336,0.0
12415,success_fed_thirdfactor,0.95,0.9355000000000001,0.32,0.4,0.64,0.5978571428571429,0.5841320553780618,0.193942857142862,0.267260579064588,0.0
12415,ethicalsense_fed_thirdfactor,0.95,0.5001199999999999,0.32,0.4,0.64,0.5071428571428571,0.5069124423963134,0.01169285714285659,0.35422740524781343,0.0
12415,ethicalsense_plus_idealgap,0.4971363872175904,0.8163971556090208,0.878729006053189,0.9028561054478702,0.3140221538480791,0.5447619047619048,0.5310763011622032,0.06662619047619103,0.3189033189033189,0.6631299734748011
12416,static_baseline,0.24,0.56,0.32,0.4,0.64,0.52,0.519857433808554,0.03447142857142863,0.35206258890469416,0.0
12416,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5895238095238096,0.5915854284248332,0.17760238095238517,0.28686720469552457,0.0
12416,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.49452380952380953,0.49575371549893843,0.006066666666666199,0.36107091172214184,0.0
12416,ethicalsense_plus_idealgap,0.4715842943616196,0.5076565471488513,0.8229256711772988,0.8526331040595702,0.34664030746362784,0.5,0.48963075366717246,-0.018621428571429042,0.3539244186046512,0.6111111111111112
12417,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5035714285714286,0.5023696682464455,0.017507142857142655,0.34971098265895956,0.0
12417,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5978571428571429,0.6190231362467866,0.2134642857142913,0.2827838827838828,0.0
