seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
19217,FULL,0.8449612403100775,0.3488372093023256,0.08695652173913043,0.7034559999999986,0.53,0.94,0.7630789654196154
19217,PTVM_conditional_A,0.9302325581395349,0.2868217054263566,0.12201963534361851,0.7253663999999987,0.3678,0.94,0.8096436940165475
19218,PTVM,0.9576271186440678,0.1694915254237288,0.15852795470629866,0.7114391999999984,0.0,0.94,0.8554975032960281
19218,FULL,0.8728813559322034,0.2457627118644068,0.11748053786270347,0.6914071999999982,0.5272,0.94,0.7888490612410183
19218,PTVM_conditional_A,0.9576271186440678,0.1694915254237288,0.15852795470629866,0.7114391999999984,0.3654,0.94,0.8372275032960281
19219,PTVM,0.9512195121951219,0.2032520325203252,0.15512465373961218,0.7231551999999984,0.0,0.94,0.8481589547805326
19219,FULL,0.926829268292683,0.22764227642276422,0.10249307479224377,0.7067039999999982,0.5374,0.94,0.8151103964236647
19219,PTVM_conditional_A,0.9512195121951219,0.2032520325203252,0.15512465373961218,0.7231551999999984,0.3672,0.94,0.8297989547805326
19220,PTVM,0.9813084112149533,0.1588785046728972,0.14730878186968838,0.725410399999999,0.0,0.94,0.8702932208223239
19220,FULL,0.9345794392523364,0.18691588785046728,0.09419263456090651,0.7072367999999989,0.535,0.94,0.8295036929009026
19220,PTVM_conditional_A,0.9813084112149533,0.1588785046728972,0.14730878186968838,0.725410399999999,0.368,0.94,0.8518932208223238
19221,PTVM,0.9696969696969697,0.2196969696969697,0.14155571128241065,0.7398519999999987,0.0,0.94,0.8556441062283662
19221,FULL,0.9318181818181818,0.25757575757575757,0.09530483531885074,0.7257127999999987,0.531,0.94,0.8146831080877448
19221,PTVM_conditional_A,0.9696969696969697,0.2196969696969697,0.14155571128241065,0.7398519999999987,0.3678,0.94,0.8372541062283662
19222,PTVM,0.9292929292929293,0.29292929292929293,0.13680555555555557,0.770699999999999,0.0,0.94,0.8323344444444443
19222,FULL,0.9191919191919192,0.30303030303030304,0.09513888888888888,0.7635503999999992,0.5372,0.94,0.8068223022222222
19222,PTVM_conditional_A,0.9292929292929293,0.29292929292929293,0.13680555555555557,0.770699999999999,0.3742,0.94,0.8136244444444443
19223,PTVM,0.940677966101695,0.2711864406779661,0.13098591549295774,0.7520903999999984,0.0,0.94,0.8386276765624251
19223,FULL,0.9067796610169492,0.3050847457627119,0.08380281690140845,0.7403719999999983,0.5196,0.94,0.8010965484841247
19223,PTVM_conditional_A,0.940677966101695,0.2711864406779661,0.13098591549295774,0.7520903999999984,0.3648,0.94,0.8203876765624251
19224,PTVM,0.9629629629629629,0.22962962962962963,0.1442646023926812,0.7247895999999989,0.0,0.94,0.847586481002945
19224,FULL,0.9481481481481482,0.24444444444444444,0.10274454609429978,0.704131199999999,0.5246,0.94,0.8173806641144731
19224,PTVM_conditional_A,0.9629629629629629,0.22962962962962963,0.1442646023926812,0.7247895999999989,0.3658,0.94,0.829296481002945
19225,PTVM,0.9298245614035088,0.21052631578947367,0.14112615823235922,0.7344855999999989,0.0,0.94,0.8449876778272122
19225,FULL,0.9035087719298246,0.23684210526315788,0.09907341411261582,0.7198391999999988,0.5352,0.94,0.8092352624406346
19225,PTVM_conditional_A,0.9298245614035088,0.21052631578947367,0.14112615823235922,0.7344855999999989,0.3634,0.94,0.8268176778272122
19226,PTVM,0.950354609929078,0.23404255319148937,0.13407049067035245,0.743311999999999,0.0,0.94,0.8484440465467804
19226,FULL,0.9148936170212766,0.24822695035460993,0.09882515549412578,0.7221095999999989,0.5368,0.94,0.8102282364189051
19226,PTVM_conditional_A,0.950354609929078,0.23404255319148937,0.13407049067035245,0.743311999999999,0.3738,0.94,0.8297540465467803
