seed,model,trap_capture,false_consolidation,final_recall,final_false_alarm,final_violation,trajectory,integrated_score,final_quality
16725,simple_frozen_core,0.20629991126885536,0.0,0.7741935483870968,0.11733333333333333,0.3225806451612903,0.7299279999999996,0.8069370679062312,0.78
16725,tdc_evidence_validated,0.14691735898557062,0.0,0.8353658536585366,0.059333333333333335,0.2865853658536585,0.7703359999999985,0.8528576926688494,0.9135821273772212
16726,simple_time_schedule,0.27735596248325145,0.0,0.7804878048780488,0.06266666666666666,0.34146341463414637,0.7007466666666663,0.8037736904555968,0.92
16726,simple_anti_capture,0.2197851387645479,0.0,0.7834394904458599,0.11866666666666667,0.35668789808917195,0.7157693333333327,0.8001951214222202,0.78
16726,simple_frozen_core,0.21029476462824462,0.0,0.7610062893081762,0.11266666666666666,0.389937106918239,0.7294022222222213,0.7897692872497396,0.78
16726,tdc_evidence_validated,0.13491707754370239,0.0,0.8421052631578947,0.048666666666666664,0.28289473684210525,0.7816239999999984,0.8596692007228288,0.9136047956938422
16727,simple_time_schedule,0.27071333628710675,0.0,0.7651006711409396,0.066,0.348993288590604,0.7026413333333335,0.7980573298772994,0.92
16727,simple_anti_capture,0.22212389380530972,0.0,0.7134146341463414,0.12066666666666667,0.4146341463414634,0.7146555555555548,0.7668664380650886,0.78
16727,simple_frozen_core,0.22177777777777777,0.0,0.757396449704142,0.12333333333333334,0.33727810650887574,0.7356382222222208,0.7959399536094675,0.78
16727,tdc_evidence_validated,0.12584573748308525,0.0,0.8461538461538461,0.056,0.2485207100591716,0.7940879999999981,0.8682071285866875,0.9143061899818258
16728,simple_time_schedule,0.2744920993227991,0.0,0.8716216216216216,0.07133333333333333,0.30405405405405406,0.6991097777777769,0.8373711728815948,0.92
16728,simple_anti_capture,0.2096128170894526,0.0,0.7678571428571429,0.11733333333333333,0.3869047619047619,0.7212533333333326,0.7913605294170004,0.78
16728,simple_frozen_core,0.22577777777777777,0.0,0.7888198757763976,0.13,0.32919254658385094,0.735431999999999,0.80521584452726,0.78
16728,tdc_evidence_validated,0.14140521431727796,0.0,0.8930817610062893,0.050666666666666665,0.22012578616352202,0.78935422222222,0.8865568099536523,0.91517875464478
16729,simple_time_schedule,0.2807641048422923,0.0,0.7784431137724551,0.07733333333333334,0.38922155688622756,0.678552444444444,0.7896037458543479,0.92
16729,simple_anti_capture,0.21671826625386997,0.0,0.7972972972972973,0.12066666666666667,0.3108108108108108,0.7224217777777766,0.8138633408625963,0.78
16729,simple_frozen_core,0.21494913754975675,0.0,0.7668711656441718,0.12666666666666668,0.3558282208588957,0.7195391111111102,0.7947843907089509,0.78
16729,tdc_evidence_validated,0.1279431363838294,0.0,0.8482758620689655,0.05466666666666667,0.2896551724137931,0.7846733333333312,0.8601866183775282,0.9131267599882138
16730,simple_time_schedule,0.26978574551814605,0.0,0.8957055214723927,0.062,0.2822085889570552,0.7278604444444433,0.8524543520555441,0.92
16730,simple_anti_capture,0.21739130434782608,0.0,0.7014925373134329,0.12533333333333332,0.47761194029850745,0.7282377777777769,0.7510601016367437,0.78
16730,simple_frozen_core,0.20156385751520417,0.0,0.8014184397163121,0.11666666666666667,0.3617021276595745,0.7371773333333319,0.8083532596641834,0.78
16730,tdc_evidence_validated,0.13674459638288486,0.0,0.8387096774193549,0.048666666666666664,0.2849462365591398,0.7701004444444425,0.8575234301981522,0.9135818957287998
16731,simple_time_schedule,0.2611607142857143,0.0,0.8895705521472392,0.06,0.26993865030674846,0.6921959999999995,0.8532087755828219,0.92
16731,simple_anti_capture,0.20071524362986143,0.0,0.7894736842105263,0.11533333333333333,0.3391812865497076,0.7122031111111109,0.8086338382894802,0.78
16731,simple_frozen_core,0.21539830885625277,0.0,0.7734375,0.13133333333333333,0.3515625,0.737898222222221,0.7974389156490134,0.78
16731,tdc_evidence_validated,0.13444244604316546,0.0,0.8301886792452831,0.046,0.3018867924528302,0.7548848888888873,0.8517726983925312,0.9123833205673355
16732,simple_time_schedule,0.2717247463608293,0.0,0.8356164383561644,0.06666666666666667,0.2534246575342466,0.7377711111111103,0.8394693799539283,0.92
16732,simple_anti_capture,0.20348583877995643,0.0,0.7469135802469136,0.128,0.3765432098765432,0.7320697777777764,0.7865202057806825,0.78
16732,simple_frozen_core,0.2183288409703504,0.0,0.831081081081081,0.12066666666666667,0.3108108108108108,0.7529057777777755,0.824992355537424,0.78
16732,tdc_evidence_validated,0.14676068752754517,0.0,0.8291139240506329,0.05,0.27848101265822783,0.7791253333333312,0.8546564917630213,0.9139418156973775
16733,simple_time_schedule,0.2671353251318102,0.0,0.8292682926829268,0.06,0.3170731707317073,0.7111191111111105,0.8256116725845275,0.92
16733,simple_anti_capture,0.21434898139946856,0.0,0.7206703910614525,0.12933333333333333,0.37988826815642457,0.7195386666666655,0.7757161529578918,0.78
16733,simple_frozen_core,0.21221441124780316,0.0,0.7397260273972602,0.14066666666666666,0.3698630136986301,0.7462364444444425,0.7827646456825372,0.78
16733,tdc_evidence_validated,0.13507528786536757,0.0,0.8164556962025317,0.05466666666666667,0.310126582278481,0.767544444444443,0.8448626298816896,0.9125370065614973
16734,simple_time_schedule,0.27460456942003514,0.0,0.8562091503267973,0.06933333333333333,0.26143790849673204,0.7384164444444432,0.8431871814576656,0.92
16734,simple_anti_capture,0.20573951434878587,0.0,0.8380281690140845,0.12,0.33098591549295775,0.7486004444444426,0.8247517533745815,0.78
16734,simple_frozen_core,0.21986754966887417,0.0,0.7861271676300579,0.14133333333333334,0.3468208092485549,0.7251488888888875,0.7992584870412194,0.78
