seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11836,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.475,0.43309222423146476,-0.0475,0.6832151300236406,-0.040000000000000036,0.0
11836,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4633333333333333,0.41263940520446096,-0.06333333333333334,0.7137931034482758,-0.040000000000000036,0.0
11837,no_codevelopment,0.22,0.54,0.68,0.28,0.48083333333333333,0.4426840633737186,-0.0175,0.7210144927536232,0.0,0.0
11837,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48291666666666666,0.45695970695970695,-0.01125,0.6898203592814371,-0.040000000000000036,0.0
11837,bidirectional_codevelopment,0.1,0.5018,0.9,0.1,0.48875,0.4619718309859155,0.01125,0.6810344827586207,-0.040000000000000036,0.0018000000000000238
11838,no_codevelopment,0.22,0.54,0.68,0.28,0.48791666666666667,0.43047619047619046,-0.010416666666666666,0.7112426035502959,0.0,0.0
11838,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48875,0.4477468839884947,0.00875,0.6925837320574163,-0.03604000000000007,0.0
11838,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48291666666666666,0.44022770398481975,-0.00875,0.7075812274368231,-0.040000000000000036,0.0
11839,no_codevelopment,0.22,0.54,0.68,0.28,0.4945833333333333,0.4667913938260056,0.019583333333333335,0.6973684210526315,0.0,0.0
11839,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4816666666666667,0.42656688493919553,-0.029166666666666667,0.6779661016949152,-0.040000000000000036,0.0
11839,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4925,0.45539906103286387,0.009166666666666667,0.6754176610978521,-0.040000000000000036,0.0
11840,no_codevelopment,0.22,0.54,0.68,0.28,0.5029166666666667,0.46070460704607047,0.005416666666666667,0.6721854304635762,0.0,0.0
11840,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.46291666666666664,0.3965201465201465,-0.08625,0.6985981308411215,-0.040000000000000036,0.0
11840,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4658333333333333,0.42463235294117646,-0.05583333333333333,0.7027649769585254,-0.040000000000000036,0.0
11841,no_codevelopment,0.22,0.54,0.68,0.28,0.4866666666666667,0.4497695852534562,-0.010833333333333334,0.7079856972586412,0.0,0.0
11841,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48791666666666667,0.4355140186915888,-0.015416666666666667,0.6799007444168734,-0.040000000000000036,0.0
11841,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47833333333333333,0.4319852941176471,-0.03666666666666667,0.7167487684729064,-0.040000000000000036,0.0
