seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18250,simple_fixed_q084_a008,0.7931034482758621,0.08133333333333333,0.3103448275862069,0.18811881188118812,0.6946604444444411,0.84,0.24,0.34,0.4,0.62,0.34
18251,tdc_full_developmental_perception,0.8817204301075269,0.056,0.25806451612903225,0.16616616616616617,0.693954666666663,0.9105276263411054,0.95,0.95,0.9469281578460005,0.22037409185232254,0.9066385164984194
18251,tdc_no_perceptual_development,0.73,0.21733333333333332,0.42,0.3287671232876712,0.5829413333333282,0.58,0.95,0.95,0.8971126743399,0.36493199880929444,0.8580451688826514
18251,simple_fixed_q058,0.6067415730337079,0.224,0.5280898876404494,0.36047666335650447,0.5467493333333289,0.58,0.24,0.34,0.4,0.62,0.34
18251,simple_fixed_q084_a008,0.8181818181818182,0.08266666666666667,0.3977272727272727,0.17596153846153847,0.6818479999999966,0.84,0.24,0.34,0.4,0.62,0.34
18252,tdc_full_developmental_perception,0.8404255319148937,0.06666666666666667,0.23404255319148937,0.1752873563218391,0.6999697777777746,0.9105717445209696,0.95,0.95,0.9386815826595585,0.21443203242971692,0.9060623875574603
18252,tdc_no_perceptual_development,0.6266666666666667,0.23333333333333334,0.4533333333333333,0.35786290322580644,0.5637564444444395,0.58,0.95,0.95,0.8796860779208596,0.39482762306210295,0.8462146137146891
18252,simple_fixed_q058,0.5684210526315789,0.208,0.5368421052631579,0.3333333333333333,0.5843759999999951,0.58,0.24,0.34,0.4,0.62,0.34
18252,simple_fixed_q084_a008,0.8651685393258427,0.08266666666666667,0.2247191011235955,0.17048853439680958,0.753031111111108,0.84,0.24,0.34,0.4,0.62,0.34
18253,tdc_full_developmental_perception,0.7945205479452054,0.06,0.3561643835616438,0.1699530516431925,0.7052337777777743,0.907590982927786,0.95,0.95,0.9308386839056022,0.25250596765993133,0.8945831790614178
18253,tdc_no_perceptual_development,0.5959595959595959,0.24266666666666667,0.47474747474747475,0.3352272727272727,0.5667662222222178,0.58,0.95,0.95,0.8977299982938607,0.37768953028780883,0.8550101170015129
18253,simple_fixed_q058,0.6785714285714286,0.22,0.4880952380952381,0.3481624758220503,0.5643751111111058,0.58,0.24,0.34,0.4,0.62,0.34
18253,simple_fixed_q084_a008,0.8513513513513513,0.08266666666666667,0.32432432432432434,0.17023346303501946,0.7120168888888854,0.84,0.24,0.34,0.4,0.62,0.34
18254,tdc_full_developmental_perception,0.8604651162790697,0.044,0.26744186046511625,0.1629913710450623,0.6898426666666627,0.9084003884590275,0.95,0.95,0.9412110602601723,0.24930980768838387,0.8979753131429471
18254,tdc_no_perceptual_development,0.6075949367088608,0.24933333333333332,0.5063291139240507,0.3592233009708738,0.5448799999999961,0.58,0.95,0.95,0.8651116069356823,0.4073472720608118,0.8394410837187176
18254,simple_fixed_q058,0.5925925925925926,0.22666666666666666,0.5555555555555556,0.333976833976834,0.564351111111106,0.58,0.24,0.34,0.4,0.62,0.34
18254,simple_fixed_q084_a008,0.7978723404255319,0.10533333333333333,0.32978723404255317,0.17574511819116137,0.6613173333333293,0.84,0.24,0.34,0.4,0.62,0.34
18255,tdc_full_developmental_perception,0.8395061728395061,0.076,0.25925925925925924,0.16616616616616617,0.6772942222222188,0.9075505094039882,0.95,0.95,0.9269894215247961,0.24997208593536402,0.8942543338973581
18255,tdc_no_perceptual_development,0.6382978723404256,0.20666666666666667,0.5319148936170213,0.34739941118743867,0.5300479999999957,0.58,0.95,0.95,0.886029266316549,0.4268198340789657,0.8398023580593958
18255,simple_fixed_q058,0.6375,0.23066666666666666,0.4875,0.3521400778210117,0.5589928888888847,0.58,0.24,0.34,0.4,0.62,0.34
18255,simple_fixed_q084_a008,0.7647058823529411,0.10533333333333333,0.39215686274509803,0.1927236971484759,0.6859937777777733,0.84,0.24,0.34,0.4,0.62,0.34
18256,tdc_full_developmental_perception,0.8571428571428571,0.04666666666666667,0.2857142857142857,0.17635843660629172,0.7132017777777738,0.9099996928921907,0.95,0.95,0.9397787050273917,0.22430978367112564,0.9038672303390665
18256,tdc_no_perceptual_development,0.6309523809523809,0.232,0.5,0.3379174852652259,0.5774684444444399,0.58,0.95,0.95,0.8839529270206343,0.3967525228314183,0.846800101047304
18256,simple_fixed_q058,0.6428571428571429,0.22266666666666668,0.47619047619047616,0.3695861405197305,0.5379795555555505,0.58,0.24,0.34,0.4,0.62,0.34
18256,simple_fixed_q084_a008,0.7647058823529411,0.084,0.3411764705882353,0.19504950495049506,0.6850159999999961,0.84,0.24,0.34,0.4,0.62,0.34
18257,tdc_full_developmental_perception,0.8631578947368421,0.050666666666666665,0.24210526315789474,0.17070805043646944,0.7006826666666633,0.9095123086451509,0.95,0.95,0.9429536910376756,0.23434801592868038,0.9021514187772488
18257,tdc_no_perceptual_development,0.5844155844155844,0.20933333333333334,0.5454545454545454,0.3669201520912547,0.5613582222222172,0.58,0.95,0.95,0.8789598369425147,0.4195767922535879,0.8398457611722318
18257,simple_fixed_q058,0.5979381443298969,0.24266666666666667,0.4845360824742268,0.341747572815534,0.5433066666666619,0.58,0.24,0.34,0.4,0.62,0.34
18257,simple_fixed_q084_a008,0.7821782178217822,0.076,0.37623762376237624,0.18410852713178294,0.697719111111107,0.84,0.24,0.34,0.4,0.62,0.34
18258,tdc_full_developmental_perception,0.8666666666666667,0.07333333333333333,0.2777777777777778,0.1864406779661017,0.6972222222222187,0.9053894224509142,0.95,0.95,0.9156446631677321,0.2701296170602495,0.8863787615268707
18258,tdc_no_perceptual_development,0.5679012345679012,0.21066666666666667,0.5925925925925926,0.34215686274509804,0.5714879999999949,0.58,0.95,0.95,0.8873928121743377,0.4233115486883354,0.8410203158715006
18258,simple_fixed_q058,0.5714285714285714,0.216,0.5238095238095238,0.3676907829534192,0.5066897777777744,0.58,0.24,0.34,0.4,0.62,0.34
18258,simple_fixed_q084_a008,0.7972972972972973,0.092,0.33783783783783783,0.18331716779825413,0.6962933333333294,0.84,0.24,0.34,0.4,0.62,0.34
