profile_id,seed,A_TF,I,C_T,R_C,H_self,weakest_link,mean_maturity,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
3482,11396,0.6515848446339956,0.4445589898054861,0.2044030913597721,0.21577724261369735,0.4438662138447619,0.2044030913597721,0.41449159091363785,0.3718044214323131,0.20762421849398657,0.6541269676252907,0.6989539704416348,0.6228070175438597,0.642,0.6422413793103449,0.27580000000000043,0.684
3483,11396,0.8855358625099778,0.5012815694633325,0.9066105229918007,0.7293149785707789,0.5992732113788906,0.40072678862110944,0.6846939444313997,0.6517700968563743,0.4644653388695009,0.8123940597593378,0.889241376671875,0.8408551068883611,0.814,0.7733333333333333,0.5678999999999953,0.842
3484,11396,0.39627990303765803,0.3506459059639717,0.83332367283852,0.5060620483211542,0.24782571346833454,0.3506459059639717,0.5676971633385939,0.5356009742818711,0.20124917617342597,0.6809328293635757,0.7105908470557568,0.6440129449838188,0.634,0.5956521739130435,0.23110000000000114,0.618
3485,11396,0.6453690377889338,0.8923680056560657,0.7603489187919645,0.23621480160354744,0.23074213325971682,0.23621480160354744,0.660711726116159,0.6027661019562517,0.4560037515031124,0.8000194739834325,0.7254320939616319,0.7579250720461095,0.726,0.7375,0.439299999999998,0.694
3486,11396,0.7069539881978029,0.39521644761705255,0.3319526705059376,0.37613802461299184,0.05454161619667351,0.3319526705059376,0.5511439029474222,0.5054269513814245,0.2864113493766628,0.7112696179868547,0.6726341901867532,0.7047619047619048,0.664,0.6890756302521008,0.33649999999999963,0.63
3487,11396,0.36676610686059163,0.3067174671071586,0.5044688135534665,0.8667877246772835,0.6604406623002551,0.3067174671071586,0.47685988997964907,0.4411213638935497,0.1498684332476775,0.6423465874648635,0.7665767416269632,0.6657060518731989,0.592,0.599009900990099,0.268,0.0
3488,11396,0.720868857648312,0.8443667577694909,0.4490630874094487,0.5785249568893613,0.5149906233518934,0.4490630874094487,0.615566607272944,0.5983473838079162,0.46458258549194403,0.8028272149920413,0.7808659565087741,0.8131578947368421,0.774,0.7543103448275862,0.5079999999999962,0.76
3489,11396,0.7563405413771906,0.946492017453407,0.3057455054879641,0.8269601412047107,0.740965854291531,0.25903414570846905,0.6189144702463484,0.542259541067675,0.45653302832576587,0.7893505892890031,0.8297111374262764,0.7883597883597884,0.762,0.7685589519650655,0.5121999999999967,0.756
3490,11396,0.8651675423055816,0.64511170254942,0.6910279175270024,0.41238445878053087,0.34758523088016297,0.41238445878053087,0.6532212780564743,0.6356402079626091,0.48699092362792235,0.818951425356997,0.7939311037664155,0.8354755784061697,0.788,0.8055555555555556,0.581099999999996,0.778
3491,11396,0.4049777175456607,0.611751885002827,0.6649842095472962,0.7098894144606476,0.3033051714785135,0.4049777175456607,0.6176596110155835,0.6056339506892784,0.3016215101902117,0.7356951454039591,0.7197177036647004,0.7225609756097561,0.698,0.7407407407407407,0.44119999999999776,0.656
3492,11396,0.2966549863165194,0.7638089870596267,0.33905524602061426,0.5174784336848188,0.7838056633952633,0.21619433660473675,0.4266383979372632,0.3862323891679925,0.19577126674100584,0.6517457620814612,0.7264220671674135,0.6656441717791411,0.626,0.6493506493506493,0.2865,0.31
3493,11397,0.3674340204418728,0.42659933680117945,0.5806501641088226,0.6029542221344641,0.23810345127237248,0.3674340204418728,0.5479068584427933,0.5299792767655004,0.20884279262099215,0.6831102427186068,0.6836333597730658,0.7040498442367601,0.616,0.6533333333333333,0.2894000000000002,0.292
3494,11397,0.28253593373169517,0.5812844708536333,0.20621760268472067,0.9335237804510619,0.625382578661164,0.20621760268472067,0.47563584181198937,0.4118132351355158,0.17171490761596772,0.6462466435230992,0.7172759409049754,0.672566371681416,0.634,0.6651162790697674,0.3318000000000001,0.284
3495,11397,0.5351969489851205,0.44058618644888625,0.9285856352858264,0.3163085430783659,0.06978710648446966,0.3163085430783659,0.6301780414627459,0.5778457836179967,0.284659606778867,0.7235692758983635,0.7027801599349793,0.788235294117647,0.716,0.714859437751004,0.3979999999999983,0.68
3496,11397,0.20706536915693385,0.5206755089686326,0.38689730578312,0.22212358446450484,0.6234186463497788,0.20706536915693385,0.3426686244046825,0.3225111712060715,0.11229514279476714,0.6052159707908951,0.6636080595648881,0.6296296296296297,0.616,0.6620370370370371,0.324,0.0
3497,11397,0.32686213940990805,0.2822718196418373,0.4844288037821269,0.6713189839859788,0.2307565309481055,0.2822718196418373,0.5068250431743492,0.4705989667032354,0.1443781137771922,0.6453466217930031,0.6696667740377219,0.655688622754491,0.636,0.7122641509433962,0.37749999999999967,0.29
