seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,probe_rate,low_risk_opportunity_cost
10122,hard_key_continuous,0.33544444444444527,0.7967914438502673,0.20320855614973263,0.2594444444444444,0.0,0.0
10122,threshold_probe_v245,0.3537416666666676,0.8117647058823529,0.18823529411764706,0.2594444444444444,0.18833333333333332,0.0
10122,voi_probe,0.34819722222222366,0.8064171122994652,0.19358288770053475,0.25666666666666665,0.09277777777777778,0.0
10122,always_probe_high_risk,0.34215277777777786,0.8117647058823529,0.18823529411764706,0.25722222222222224,0.5194444444444445,0.0
10122,oracle_key_audit_only,0.4101111111111161,0.841711229946524,0.15828877005347594,0.26722222222222225,0.0,0.0
10123,hard_key_continuous,0.2743111111111093,0.7605042016806722,0.23949579831932774,0.25166666666666665,0.0,0.0
10123,threshold_probe_v245,0.2935416666666642,0.7752100840336135,0.22478991596638656,0.24833333333333332,0.16166666666666665,0.0
10123,voi_probe,0.31228333333333247,0.7846638655462185,0.21533613445378152,0.2511111111111111,0.08333333333333333,0.0
10123,always_probe_high_risk,0.2753555555555473,0.7720588235294118,0.22794117647058823,0.24222222222222223,0.5288888888888889,0.0
10123,oracle_key_audit_only,0.37031111111111387,0.8172268907563025,0.18277310924369747,0.24833333333333332,0.0,0.0
10124,hard_key_continuous,0.28124444444444274,0.7640086206896551,0.23599137931034483,0.245,0.0,0.0
10124,threshold_probe_v245,0.3177861111111118,0.7898706896551724,0.2101293103448276,0.2361111111111111,0.175,0.0
10124,voi_probe,0.3242388888888896,0.7920258620689655,0.20797413793103448,0.23833333333333334,0.09222222222222222,0.0
10124,always_probe_high_risk,0.30408888888888574,0.7887931034482759,0.21120689655172414,0.23777777777777778,0.5155555555555555,0.0
10124,oracle_key_audit_only,0.38613333333333727,0.8275862068965517,0.1724137931034483,0.24,0.0,0.0
10125,hard_key_continuous,0.3212222222222231,0.788235294117647,0.21176470588235294,0.26166666666666666,0.0,0.0
10125,threshold_probe_v245,0.3509638888888917,0.8096256684491978,0.19037433155080213,0.25277777777777777,0.1661111111111111,0.0
10125,voi_probe,0.3587861111111142,0.8128342245989305,0.18716577540106952,0.25333333333333335,0.095,0.0
10125,always_probe_high_risk,0.3225972222222203,0.8,0.2,0.2477777777777778,0.5194444444444445,0.0
10125,oracle_key_audit_only,0.40477777777778234,0.8385026737967914,0.16149732620320856,0.25555555555555554,0.0,0.0
10126,hard_key_continuous,0.30797777777777713,0.7803590285110876,0.21964097148891235,0.2588888888888889,0.0,0.0
10126,threshold_probe_v245,0.3306472222222217,0.7972544878563886,0.20274551214361142,0.25222222222222224,0.165,0.0
10126,voi_probe,0.3316500000000002,0.7961985216473073,0.20380147835269272,0.25277777777777777,0.08555555555555555,0.0
10126,always_probe_high_risk,0.31978611111110816,0.7983104540654699,0.2016895459345301,0.24388888888888888,0.5261111111111111,0.0
10126,oracle_key_audit_only,0.39686666666667036,0.8331573389651531,0.16684266103484688,0.26,0.0,0.0
10127,hard_key_continuous,0.2807777777777758,0.7643979057591623,0.2356020942408377,0.2788888888888889,0.0,0.0
10127,threshold_probe_v245,0.33152222222222294,0.7979057591623037,0.20209424083769634,0.27,0.17555555555555555,0.0
10127,voi_probe,0.33225277777777856,0.7968586387434555,0.2031413612565445,0.27166666666666667,0.10388888888888889,0.0
10127,always_probe_high_risk,0.32620833333333177,0.8020942408376963,0.19790575916230366,0.2644444444444444,0.5305555555555556,0.0
10127,oracle_key_audit_only,0.4052222222222269,0.837696335078534,0.16230366492146597,0.2733333333333333,0.0,0.0
10128,hard_key_continuous,0.2183777777777761,0.7261009667024705,0.2738990332975295,0.2683333333333333,0.0,0.0
10128,threshold_probe_v245,0.27258055555555183,0.7626208378088077,0.23737916219119226,0.26166666666666666,0.17833333333333334,0.0
10128,voi_probe,0.2752638888888859,0.7626208378088077,0.23737916219119226,0.25833333333333336,0.10166666666666667,0.0
10128,always_probe_high_risk,0.25005277777777035,0.7561761546723953,0.24382384532760473,0.2538888888888889,0.5172222222222222,0.0
10128,oracle_key_audit_only,0.34282222222222414,0.8012889366272825,0.19871106337271752,0.2683333333333333,0.0,0.0
10129,hard_key_continuous,0.2989333333333324,0.7751046025104602,0.22489539748953974,0.27666666666666667,0.0,0.0
10129,threshold_probe_v245,0.339147222222223,0.8023012552301255,0.19769874476987448,0.27111111111111114,0.17166666666666666,0.0
10129,voi_probe,0.33487500000000053,0.7981171548117155,0.20188284518828453,0.2777777777777778,0.09055555555555556,0.0
10129,always_probe_high_risk,0.3265666666666659,0.8023012552301255,0.19769874476987448,0.27,0.5311111111111111,0.0
10129,oracle_key_audit_only,0.3896000000000036,0.8284518828451883,0.17154811715481172,0.275,0.0,0.0
10130,hard_key_continuous,0.3409777777777799,0.8004385964912281,0.19956140350877194,0.24833333333333332,0.0,0.0
10130,threshold_probe_v245,0.35651666666666865,0.8135964912280702,0.18640350877192982,0.2427777777777778,0.16555555555555557,0.0
10130,voi_probe,0.3608611111111137,0.8146929824561403,0.18530701754385964,0.24666666666666667,0.09222222222222222,0.0
10130,always_probe_high_risk,0.3428000000000004,0.8125,0.1875,0.2388888888888889,0.5066666666666667,0.0
10130,oracle_key_audit_only,0.4280888888888947,0.8541666666666666,0.14583333333333334,0.25,0.0,0.0
