seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12922,success_fed_thirdfactor,0.9696,1.0,0.7488,0.4436,0.95,0.8940000000000103,0.32,0.4,0.64,0.5564,0.39544,0.15008499999999098
12922,ethicalsense_plus_idealgap,0.5268,0.4832,0.5936,0.5992,0.482518648566184,0.9373694819998406,0.8923316190324451,0.9150984571292,0.30339402905713686,0.2248,0.7690118337302185,0.13181099999999807
12922,hybrid_reward_and_ethics,0.5268,0.5032,0.5496,0.5596,0.95,0.7347432213577747,0.8662898412654566,0.891660857138911,0.3122260952407265,0.2552,0.7416992682517102,0.05870900000000127
12923,static_baseline,0.472,0.5332,0.4672,0.4588,0.24,0.56,0.32,0.4,0.64,0.314,0.42424,-0.13980000000000162
12923,success_fed_thirdfactor,0.9696,1.0,0.738,0.4372,0.95,0.9205000000000104,0.32,0.4,0.64,0.5628,0.39288,0.13677099999999917
12923,ethicalsense_plus_idealgap,0.5376,0.4736,0.5788,0.6152,0.4806299785869983,0.94,0.8922887362729229,0.9150598626456301,0.30248400027516076,0.2108,0.775330112874718,0.1465829999999995
12923,hybrid_reward_and_ethics,0.52,0.4884,0.5376,0.5612,0.95,0.7349298325808384,0.8666731272159262,0.8920058144943332,0.3119961236704438,0.2372,0.744176660516202,0.04408700000000154
12924,static_baseline,0.4696,0.5164,0.4452,0.4412,0.24,0.56,0.32,0.4,0.64,0.3232,0.41803999999999997,-0.16136000000000325
12924,success_fed_thirdfactor,0.9588,1.0,0.7304,0.4444,0.95,0.9220000000000041,0.32,0.4,0.64,0.5556,0.39576,0.10213100000000092
12924,ethicalsense_plus_idealgap,0.572,0.482,0.6072,0.6124,0.48654073924259383,0.9389395097143262,0.8930064762174387,0.9157058285956947,0.3048651886473463,0.2176,0.7737579740953094,0.18195600000000114
12924,hybrid_reward_and_ethics,0.514,0.494,0.54,0.5632,0.95,0.7348759616770986,0.8665652651325819,0.8919087386193238,0.3120608409204509,0.2564,0.7428011115432797,0.05344700000000131
12925,static_baseline,0.4792,0.52,0.4584,0.4548,0.24,0.56,0.32,0.4,0.64,0.3112,0.42332,-0.13872000000000292
12925,success_fed_thirdfactor,0.9588,1.0,0.7348,0.4272,0.95,0.8780000000000288,0.32,0.4,0.64,0.5728,0.38888,0.0986439999999986
12925,ethicalsense_plus_idealgap,0.5352,0.5032,0.5632,0.6044,0.4817765175698792,0.94,0.8927826592017938,0.9155043932816151,0.30266213142350434,0.2376,0.769593310447237,0.12074199999999764
12925,hybrid_reward_and_ethics,0.5128,0.4928,0.5316,0.5568,0.95,0.7347570829041371,0.8663132168221356,0.8916818951399215,0.31221206990671885,0.2404,0.7423513066633997,0.038133000000001235
12926,static_baseline,0.4804,0.51,0.4444,0.4572,0.24,0.56,0.32,0.4,0.64,0.2996,0.42519999999999997,-0.1564000000000039
12926,success_fed_thirdfactor,0.9632,1.0,0.7304,0.4528,0.95,0.9310000000000154,0.32,0.4,0.64,0.5472,0.39912,0.14459899999999815
12926,ethicalsense_plus_idealgap,0.5108,0.4764,0.5308,0.6144,0.488014914087253,0.9364,0.8933367704075386,0.9160030933667843,0.3053380407175963,0.2104,0.7751474213155644,0.09372899999999856
12926,hybrid_reward_and_ethics,0.518,0.4892,0.544,0.554,0.95,0.7345889655215526,0.8659565760751465,0.8913609184676322,0.31242605435491144,0.2564,0.7397276366787007,0.05566500000000134
12927,static_baseline,0.478,0.504,0.4284,0.4548,0.24,0.56,0.32,0.4,0.64,0.3064,0.42379999999999995,-0.18496000000000495
12927,success_fed_thirdfactor,0.9612,1.0,0.7408,0.4412,0.95,0.9025000000000084,0.32,0.4,0.64,0.5588,0.39447999999999994,0.1347789999999921
12927,ethicalsense_plus_idealgap,0.5344,0.4784,0.5628,0.6084,0.4838032100620211,0.94,0.8930782431459815,0.9157704188313833,0.3034390105142251,0.2144,0.7731224017599083,0.12312199999999955
12927,hybrid_reward_and_ethics,0.5336,0.5012,0.5536,0.56,0.95,0.7348039217650238,0.8664082511585307,0.8917674260426778,0.312155049304882,0.254,0.7420002493466433,0.04444700000000156
